0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:15 +0530] "GET /StudentFeedBackSystem/UserServlet?action=deleteStudent&student_id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:15 +0530] "GET /StudentFeedBackSystem/UserServlet?action=allStudentlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:15 +0530] "GET /StudentFeedBackSystem/allstudentlist.jsp HTTP/1.1" 200 13228
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:15 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:15 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:18 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:18 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:18 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:20 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:20 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8528
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:22 +0530] "GET /StudentFeedBackSystem/login.jsp HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:22 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:46:22 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:22 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:47:22 +0530] "GET /StudentFeedBackSystem/stafftoStudent.jsp HTTP/1.1" 200 3499
